stop_id,title,lat,long
lota,Preinkert Drive at Lot A,38.9842509,-76.9451946
somehall,Somerset Hall,38.9847538,-76.9458235
annearun,Anne Arundel Hall,38.9859448,-76.9469495
dorchall,Dorchester Hall,38.9869691,-76.9465401
univshad,The Universities at Shady Grove,39.0934528,-77.2018299
univpkth,Baltimore Ave at University Park Town Hall,38.9725018,-76.9380183
baltrive_out,Baltimore Avenue at Riverdale Park Station (Outbound),38.9699162,-76.9383656
baltunde,Baltimore Ave and Underwood St,38.9686098,-76.9385684
ewhwbeal,East-West Hwy and W Beale Cir,38.9641206,-76.9379016
ewhwtayl_out,East-West Hwy and Taylor Rd (Outbound),38.9623242,-76.9294593
rivd63rd,Riverdale Rd and 63rd Ave,38.9609676,-76.9100993
riveeast,Riverdale Rd and Eastpine Dr,38.9610499,-76.9067853
rive67th,Riverdale Rd and 67th Ave,38.9613322,-76.9028455
riveaubu,Riverdale Rd and Auburn Ave,38.9642799,-76.8971077
rivemart,Riverdale Rd and Martins Ln,38.9634325,-76.8893633
rivefinn,Riverdale Rd and Finns Ln,38.9620909,-76.8867462
rivelamo,Riverdale Rd and Lamont Dr,38.9613655,-76.8826626
founclap,Riverdale Rd at Fountain Club Apartments,38.9600285,-76.8795845
rivemaho,Riverdale Rd and Mahoney Dr,38.9595921,-76.8776599
herisqap,Riverdale Rd at Heritage Square Apartments,38.9585214,-76.8752214
annarive,Annapolis Rd and Riverdale Rd,38.9554776,-76.8735862
harkanna,Harkins Rd and Annapolis Rd,38.9523513,-76.8776441
ncarmetr,New Carrollton Metro Station,38.950275,-76.872531
lenocrap,85th Ave at Lenox Court Apartments,38.9538912,-76.86878
carrmnap,85th Ave at Carrollton Manor Apartments,38.9560194,-76.8682799
long85th,85th Ave and Longfellow St,38.9595984,-76.8697998
lega85th,85th Ave and Legation St,38.9607897,-76.86988
westmadi,Westbrook Dr and Madison St,38.9623382,-76.8702329
westogle,Westbrook Dr and Oglethorpe St,38.9642507,-76.8715631
westpowh,Westbrook Dr and Powhatan St,38.9655375,-76.8730066
westlamo,Westbrook Dr and Lamont Dr,38.9658,-76.8802797
lamolarc,Lamont Dr and Larchwood St,38.9678768,-76.8798726
lamocarr,Lamont Dr and Carrollton Pkwy,38.9693724,-76.8801133
lamoquen,Lamont Dr and Quentin St,38.9718528,-76.8807906
lamodono,Lamont Dr and Donoghue Dr,38.9746629,-76.8821712
lamoelem,Good Luck Rd at Lamont Elementary School,38.97497,-76.8838799
gdlknash,Good Luck Rd and Nashville Rd,38.9746889,-76.8864035
gdlkian,Good Luck Rd and Ian St,38.9725315,-76.8912732
aubuches,Auburn Ave and Chestnut Ave,38.9714872,-76.893795
aubu3rd,Auburn Ave and 3rd St,38.9691259,-76.8948129
aubu1st,Auburn Ave and 1st St,38.96631,-76.8960399
auburive,Auburn Ave and Riverdale Rd,38.9650301,-76.8966299
wildshop,Riverdale Rd at Wildercroft Shopping Center,38.9644101,-76.8978744
rive67ct,Riverdale Rd and 67th Ct,38.9618134,-76.9023121
rive64th,Riverdale Rd and 64th Ave,38.9612295,-76.907408
rive62nd_in,Riverdale Rd and 62nd Place,38.9607608,-76.9120177
rive58th,Riverdale Rd at St Jude Lutheran Church,38.9601372,-76.915671
ewhwtayl_in,East-West Hwy and Taylor Rd (Inbound),38.9624905,-76.9290223
baltsher,Baltimore Ave and Sheridan St,38.9657284,-76.9388188
ngarmo,Baltimore Ave at National Guard Armory,38.9683105,-76.9384612
baltrive_in,Baltimore Avenue at Riverdale Park Station (Inbound),38.9697021,-76.9382695
baltamhe,Baltimore Ave and Amherst Rd,38.9728518,-76.937862
campmath_m,Campus Dr at Math Slip,38.9878607,-76.9386064
baltmacd,Baltimore Avenue and Berwyn House Road,38.9923857,-76.9331919
baltqueb_out,Baltimore Ave and Quebec St(Outbound),38.9946079,-76.9322248
balttecu,Baltimore Avenue and Tecumseh Street,38.9974284,-76.9315668
rhoduniv,Rhode Island Avenue and University Boulevard (Outbound),39.0009848,-76.92481
rhodcher,Rhode Island Avenue and Cherokee Street (Outbound),39.0023911,-76.9244429
rhodfox,Rhode Island Avenue and Fox Street (Outbound),39.0059745,-76.9235001
rhodholl,Rhode Island Avenue and Hollywood Road (Outbound),39.0108965,-76.9221691
rhodshop,Rhode Island Avenue at Hollywood Shopping Center,39.0138375,-76.9213841
edgerhod,Edgewood Road and Rhode Island Avenue (Outbound),39.0161019,-76.9214156
edge49th,Edgewood Road and 49th Avenue (Outbound),39.0160649,-76.924355
mazz,Mazza GrandMarc,39.0111215,-76.9300394
baltberw_s,Baltimore Ave and Berwyn Rd (Inbound),38.996407,-76.931829
baltqueb_in,Baltimore Ave and Quebec St (Inbound),38.9946243,-76.932356
varsfron,Baltimore Ave at The Varsity,38.9908311,-76.9340076
dent_e,Denton Hall,38.9919412,-76.9500943
enclave_s,The Enclave,38.99782,-76.93182
vars,Baltimore Ave at The Varsity,38.9908313,-76.9340075
laplat_out,La Plata Hall (Outbound),38.9928692,-76.945597
hage_out,Hagerstown Hall (Outbound),38.9930112,-76.9477048
elkton_out,Elkton Hall (Outbound),38.992501,-76.9486289
vallstad,Valley Drive at Stadium Drive Garage (Outbound),38.9902296,-76.949457
benj,Benjamin Building,38.987176,-76.9471001
amersafe,America Boulevard at Safeway,38.9674013,-76.9522059
amerregal,America Boulevard at Regal Cinemas Hyattsville,38.9689219,-76.952074
guilrowa_in,Guilford Drive and Rowalt Drive (Inbound),38.9781553,-76.9390836
hage_in,Hagerstown Hall (Inbound),38.99297,-76.9475987
laplat_in,La Plata Hall (Inbound),38.9922184,-76.94563
painglen_ob,Glenn L. Martin Wind Tunnel,38.98995,-76.93725
baltpaca,Baltimore St & Paca St,39.2897837,-76.6223289
painglen_ib,Glenn L. Martin Wind Tunnel,38.98995,-76.93725
wdiapknr_d,West Diamond Ave Park & Ride Lot,39.1411079,-77.211631
brokride,Broken Land Park & Ride East Lot,39.174232,-76.8494732
greeseve_ob,Greenbelt Rd at Severn Building (Outbound),38.99809,-76.9244527
greestat_ob,Greenbelt Road and Greenbelt Station Parkway (Outbound),38.9980441,-76.9183707
gree60th_ob,Greenbelt Rd and 60th Ave,38.9979499,-76.9126796
60thgree_ob,60th Ave and Greenbelt Rd (Outbound),38.9973235,-76.911988
60thruat_ob,60th Ave and Ruatan St (Outbound),38.9947933,-76.9115234
cunnpont,Cunningham Dr and Pontiac St,38.9923653,-76.9130547
pont63rd_ob,Pontiac St and 63rd Ave (Outbound),38.9910682,-76.9080273
westpark_ob,Westchester Park Circle,38.9899966,-76.9043144
ridgivy_ob,Ridge Road and Ivy Lane,39.0076373,-76.8907826
ivylast_ob,Ivy Lane and Lastner Lane,39.0074111,-76.8889441
lastjuli_ob,Lastner Lane and Julian Court (Outbound),39.009003,-76.8855675
ridgrese_ob,Ridge Road and Research Road (Outbound),39.0113012,-76.8784344
ridgplat_ob,Ridge Road and Plateau Place (Outbound),39.0090892,-76.8734108
ridgeast_ob,Ridge Road and Eastway (Outbound),39.0050668,-76.8729771
ridggard_ob,Ridge Road and Gardenway (Outbound),39.0008081,-76.8729202
ridggrid,Ridge Road at Green Ridge House Apartments,38.9992112,-76.874829
westridg_ob,Westway and Ridge Road (Outbound),38.9994685,-76.8821864
lakewest_ob,Lakeside Drive and Westway (Outbound),38.9985222,-76.8850616
lakegree_ob,Lakecrest Drive and Greenbelt Road (Outbound),38.9960411,-76.886761
greegree_ob,Greenbelt Rd at Greenway Center (Outbound),38.9939788,-76.8775104
oraghano_ob,Ora Glen Dr and Hanover Pkwy,38.99108,-76.8757162
oraggree_ob,Ora Glen Dr and Greenbrook Dr,38.9902385,-76.870705
oragmorr,Ora Glen Drive and Morrison Drive,38.9892076,-76.8672934
mandcann_ob,Mandan Rd and Canning Terr,38.9904441,-76.8643979
mandgoak_d,Mandan Rd at Glen Oaks Apartments,38.992671,-76.864278
mandhano_ib,Mandan Rd and Hanover Pkwy,38.9979006,-76.8654631
hanoelea_ib,Hanover Pkwy at Eleanor Roosevelt High School,38.9965594,-76.8705396
hanogree_ib,Hanover Pkwy and Greenbelt Rd,38.9948379,-76.8740241
greegreei_ib,Greenbelt Rd at Greenway Center (Inbound),38.9942301,-76.8770008
lakegree_ib,Lakecrest Drive and Greenbelt Road (Inbound),38.9960957,-76.8866386
lakelake_ib,Lakecrest Dr and Lakeside Dr,38.9978001,-76.886087
lakewest_ib,Lakeside Dr and Westway (Inbound),38.9986079,-76.8848814
westridg_ib,Westway and Ridge Rd (Inbound),38.9995338,-76.8819761
ridgsout_ib,Ridge Rd and Southway,38.9986295,-76.8767675
ridggard_ib,Ridge Rd and Gardenway (Inbound),39.0006214,-76.8729368
ridgeast_ib,Ridge Rd and Eastway (Inbound),39.0048962,-76.8727822
ridgplat_ib,Ridge Rd and Plateau Pl (Inbound),39.0092352,-76.8733011
ridgrese_ib,Ridge Rd and Research Rd (Inbound),39.0113699,-76.8780186
lastjuli_ib,Lastner Ln and Julian Ct (Inbound),39.0090903,-76.8853262
lastivy_ib,Lastner Ln and Ivy Ln,39.0075078,-76.8887266
ivyridg_ib,Ivy Ln and Ridge Rd,39.0077479,-76.8906287
westpark_ib,Westchester Park Circle,38.9899967,-76.9043145
pont63rd_ib,Pontiac St and 63rd Ave (Inbound),38.9910473,-76.9076994
pontcunn_ib,Pontiac St and Cunningham Dr,38.9922585,-76.9129185
ruat60th_ib,60th Ave and Ruatan St (Inbound),38.9946237,-76.9114003
gree60th_ib,60th Ave and Greenbelt Rd (Inbound),38.9972712,-76.9119102
greestat_ib,Greenbelt Road and Greenbelt Station Parkway (Inbound),38.9981455,-76.918404
greerhod_ib,Greenbelt Rd at Severn Building (Inbound),38.9982133,-76.9254433
enclave,The Enclave,38.99782,-76.93182
bowiuniv,Bowie State University,39.0176137,-76.7613399
